Date,Value
1,39.1
2,42
3,40.95
4,38.9
5,39.85
6,39.7
7,39.2
8,39.85
9,41.95
10,42.55
11,42.775
12,43.1
13,43.6
14,43.15
15,41.225
16,41.45
17,40.95
18,40.65
19,39.85
20,35.55
21,35.21
22,34.98
23,35
24,35.3
25,35.85
26,35.5
27,35.51
28,35.29
29,35.775
30,36.24
31,37.4
32,37.6
33,37.375
34,38
35,38.79
36,38.8
37,39.6
38,40.8
39,40.2
40,42.475
41,41
42,42.475
43,42.34
44,43.55
45,43.64
46,46.95
47,48.4
48,48.375
49,49.5
50,59.3
51,64.1
52,68.9
53,66.8
54,64.1
55,64.425
56,63.6
57,64.7
58,66
59,85.3
60,90.25
61,90.7
62,114.5
63,123.5
64,115.2
65,104
66,100.25
67,97.25
68,100.25
69,112.25
70,133.25
71,169.5
72,173
73,168.5
74,156.5
75,146.75
76,154
77,155.25
78,147.5
79,166.4
80,182
81,187.5
82,176.25
83,181.75
84,177.75
85,167.4
86,167.75
87,166
88,166.4
89,161.5
90,138.25
91,143.4
92,138.25
93,140.25
94,128
95,132.3
96,129.5
97,128.15
98,125.25
99,123.8
100,112.4
101,103.05
102,116.1
103,122.3
104,130.1
105,134.55
106,132.1
107,142.25
108,149.8
109,146.5
110,143.2
111,142.95
112,144.5
113,146
114,153.9
115,160.8
116,159.8
117,165.6
118,175.2
119,182
120,180.75
121,170
122,184.9
123,183.2
124,198.9
125,207.3
126,217.45
127,243.65
128,193.7
129,224.5
130,233.05
131,250.9
132,239.65
133,243.45
134,277.15
135,276.45
136,295.35
137,317.75
138,397
139,379.75
140,417.2
141,524
142,668
143,640
144,503.25
145,519.25
146,531.4
147,662.5
148,618
149,633.75
150,670
151,636
152,621.5
153,589.5
154,507.5
155,490.25
156,514.25
157,481
158,478.75
159,421.5
160,405.25
161,425.5
162,426.5
163,429
164,415.5
165,400
166,388.25
167,363.25
168,320.5
169,356.75
170,325.5
171,314
172,342.5
173,409.6
174,394.75
175,422
176,428.25
177,448
178,503
179,419.75
180,414.25
181,428.5
182,439
183,416.75
184,422.25
185,414.5
186,404
187,383.5
188,405.75
189,381.5
190,371.9
191,396.6
192,388.5
193,376.2
194,383.45
195,375.25
196,341.6
197,347.7
198,344.15
199,334.5
200,328.6
201,309
202,304.9
203,290.5
204,329.8
205,324.65
206,313.15
207,316.5
208,328.1
209,335.75
210,326.5
211,325.75
212,327.4
213,327
214,354
215,338.25
216,345.5
217,344.75
218,343.35
219,345.5
220,357.75
221,386
222,421.2
223,401.5
224,390
225,390.9
226,407.3
227,405.75
228,419
229,454.5
230,451.75
231,447.1
232,464.25
233,455.9
234,459.15
235,468
236,493.9
237,486.5
238,465.25
239,423.75
240,458
241,449.75
242,454
243,436.85
244,432.7
245,426.35
246,396.15
247,412.3
248,421.3
249,410.15
250,394.85
251,386.75
252,382.3
253,381.3
254,363.5
255,371.15
256,369.1
257,359.6
258,369
259,376.05
260,406.8
261,401
262,417.55
263,409.1
264,372.2
265,371.55
266,363.7
267,352.4
268,371.1
269,388.1
270,406.1
271,379.25
272,384.8
273,391
274,369.6
275,363
276,354
277,353.45
278,361.55
279,366.9
280,363.6
281,347
282,350.5
283,357.4
284,366.85
285,353.4
286,354.15
287,353.05
288,341.5
289,336.25
290,337.55
291,343.4
292,357.95
293,340.5
294,349
295,338.8
296,333.7
297,332.9
298,330.75
299,328.75
300,336.9
301,353.45
302,381
303,379
304,403.7
305,370.6
306,352.65
307,369.1
308,370.8
309,390.65
310,378.2
311,380.75
312,389.7
313,376.45
314,386.25
315,385.4
316,384.05
317,386.25
318,395.35
319,387.4
320,383.35
321,382.5
322,375.85
323,375.7
324,386.55
325,389.5
326,384.25
327,387.6
328,383.35
329,381.65
330,383.75
331,382.4
332,387.85
333,386.7
334,403.2
335,400.35
336,396.7
337,390.15
338,390.55
339,381.3
340,385.5
341,387.25
342,379.3
343,379.3
344,371.9
345,369.55
346,345
347,360.6
348,349.5
349,340.45
350,345.75
351,334.05
352,326
353,325.4
354,328.75
355,310.4
356,296.9
357,289.2
358,301.8
359,296.55
360,299.9
361,310.7
362,292.4
363,295.75
364,289.4
365,273.4
366,294.1
367,293.1
368,295.75
369,287.45
370,285.65
371,286.8
372,279.8
373,285.85
374,271.05
375,261.2
376,256.75
377,254.6
378,303.75
379,298.85
380,292
381,290.85
382,283.05
383,294
384,275.9
385,275.85
386,272.25
387,289.15
388,277.4
389,274.95
390,274.1
391,263.8
392,267
393,272.65
394,266.2
395,265
396,259.05
397,263.45
398,266.1
399,269.9
400,265.55
401,275.35
402,290.85
403,280.95
404,274.7
405,276.5
406,281.5
407,296.55
408,303
409,309.35
410,327.25
411,319.05
412,305.5
413,312.4
414,322.4
415,316.35
416,318.25
417,342.75
418,370.35
419,347.65
420,335.35
421,336
422,365.8
423,345.15
424,355.75
425,371
426,384.5
427,384.6
428,398.1
429,417.25
430,401.3
431,392.25
432,423
433,387.3
434,393.85
435,393.75
436,389.6
437,408.1
438,412.35
439,426.2
440,452
441,438
442,423.8
443,436.55
444,427.5
445,433.2
446,416.9
447,436.8
448,427.15
449,433
450,473.4
451,472.65
452,493.8
453,513
454,569.8
455,556.5
456,584
457,638.25
458,654
459,600.4
460,637
461,621.75
462,601.75
463,600.9
464,638.4
465,635.7
466,645.75
467,677
468,663.5
469,678
470,656.6
471,648.5
472,666.75
473,668
474,737.75
475,783
476,794.75
477,836.5
478,923.75
479,969
480,937.25
481,867.75
482,879.5
483,932.75
484,912
485,836.5
486,897
487,728.5
488,813.5
489,865
490,918.5
491,943.75
492,918.5
493,889
494,972
495,941
496,936.5
497,950.75
498,1001.25
499,1044.5
500,1172
501,1104
502,1082.75
503,1112.5
504,1109.5
505,1175.25
506,1214
507,1240.5
508,1168
509,1233.5
510,1311
511,1336.75
512,1375
513,1410.25
514,1333.5
515,1409.75
516,1431
517,1531
518,1537
519,1508
520,1613.75
521,1826
522,1629
523,1718
524,1704
525,1574.5
526,1738
527,1788
528,1660.75
529,1662.5
530,1567.5
531,1569.5
532,1622.75
533,1657.75
534,1781
535,1718
536,1728.25
537,1664
538,1674.5
539,1591
540,1602.5
541,1472.75
542,1410.25
543,1203.25
544,1331.5
545,1392.75
546,1335.75
547,1333.75
548,1245.25
549,1201.5
550,1246.5
551,1327.75
552,1294
553,1292
554,1254
555,1313
556,1295
557,1285.75
558,1210
559,1173.25
560,1184.5
561,1199.25
562,1263.5
563,1205
564,1179.25
565,1204.3
566,1190.4
567,1175
568,1080.05
569,1125.5
570,1122.5
571,1147.75
572,1055.65
573,1062.25
574,1112.9
575,1234.15
576,1233.6
577,1237.7
